STUID,经度,纬度,经济指数
67,0.111147968,0.36971156,0.338547876
68,0.111147968,0.36971156,0.338547876
69,0.111147968,0.36971156,0.338547876
70,0.111147968,0.36971156,0.338547876
71,0.111147968,0.36971156,0.338547876
72,0.111147968,0.36971156,0.338547876
73,0.111147968,0.36971156,0.338547876
74,0.111147968,0.36971156,0.338547876
75,0.111147968,0.36971156,0.338547876
76,0.111147968,0.36971156,0.338547876
77,0.111147968,0.36971156,0.338547876
78,0.111147968,0.36971156,0.338547876
79,0.111147968,0.36971156,0.338547876
80,0.111147968,0.36971156,0.338547876
81,0.111147968,0.36971156,0.338547876
82,0.111147968,0.36971156,0.338547876
83,0.111147968,0.36971156,0.338547876
84,0.111147968,0.36971156,0.338547876
85,0.111147968,0.36971156,0.338547876
86,0.111147968,0.36971156,0.338547876
87,0.111147968,0.36971156,0.338547876
88,0.111147968,0.36971156,0.338547876
89,0.111147968,0.36971156,0.338547876
90,0.111147968,0.36971156,0.338547876
91,0.111147968,0.36971156,0.338547876
92,0.111147968,0.36971156,0.338547876
93,0.111147968,0.36971156,0.338547876
94,0.111147968,0.36971156,0.338547876
95,0.111147968,0.36971156,0.338547876
96,0.111147968,0.36971156,0.338547876
97,0.111147968,0.36971156,0.338547876
98,0.111147968,0.36971156,0.338547876
99,0.111147968,0.36971156,0.338547876
100,0.111147968,0.36971156,0.338547876
101,0.111147968,0.36971156,0.338547876
102,0.111147968,0.36971156,0.338547876
103,0.111147968,0.36971156,0.338547876
104,0.111147968,0.36971156,0.338547876
105,0.111147968,0.36971156,0.338547876
106,0.111147968,0.36971156,0.338547876
107,0.111147968,0.36971156,0.338547876
108,0.111147968,0.36971156,0.338547876
109,0.111147968,0.36971156,0.338547876
110,0.111147968,0.36971156,0.338547876
111,0.111147968,0.36971156,0.338547876
112,0.111147968,0.36971156,0.338547876
113,0.111147968,0.36971156,0.338547876
114,0.111147968,0.36971156,0.338547876
115,0.111147968,0.36971156,0.338547876
116,0.111147968,0.36971156,0.338547876
117,0.111147968,0.36971156,0.338547876
118,0.111147968,0.36971156,0.338547876
119,0.111147968,0.36971156,0.338547876
120,0.111147968,0.36971156,0.338547876
121,0.111147968,0.36971156,0.338547876
122,0.111147968,0.36971156,0.338547876
123,0.111147968,0.36971156,0.338547876
124,0.111147968,0.36971156,0.338547876
125,0.111147968,0.36971156,0.338547876
126,0.111147968,0.36971156,0.338547876
127,0.111147968,0.36971156,0.338547876
128,0.111147968,0.36971156,0.338547876
129,0.111147968,0.36971156,0.338547876
130,0.111147968,0.36971156,0.338547876
131,0.111147968,0.36971156,0.338547876
132,0.111147968,0.36971156,0.338547876
133,0.111147968,0.36971156,0.338547876
134,0.111147968,0.36971156,0.338547876
135,0.111147968,0.36971156,0.338547876
136,0.111147968,0.36971156,0.338547876
137,0.111147968,0.36971156,0.338547876
138,0.111147968,0.36971156,0.338547876
139,0.111147968,0.36971156,0.338547876
140,0.111147968,0.36971156,0.338547876
141,0.111147968,0.36971156,0.338547876
142,0.111147968,0.36971156,0.338547876
143,0.111147968,0.36971156,0.338547876
144,0.111147968,0.36971156,0.338547876
145,0.111147968,0.36971156,0.338547876
146,0.111147968,0.36971156,0.338547876
147,0.111147968,0.36971156,0.338547876
148,0.111147968,0.36971156,0.338547876
149,0.111147968,0.36971156,0.338547876
150,0.111147968,0.36971156,0.338547876
151,0.111147968,0.36971156,0.338547876
152,0.111147968,0.36971156,0.338547876
153,0.111147968,0.36971156,0.338547876
154,0.111147968,0.36971156,0.338547876
155,0.111147968,0.36971156,0.338547876
156,0.111147968,0.36971156,0.338547876
157,0.111147968,0.36971156,0.338547876
158,0.111147968,0.36971156,0.338547876
159,0.111147968,0.36971156,0.338547876
160,0.111147968,0.36971156,0.338547876
161,0.111147968,0.36971156,0.338547876
162,0.111147968,0.36971156,0.338547876
163,0.111147968,0.36971156,0.338547876
164,0.111147968,0.36971156,0.338547876
165,0.111147968,0.36971156,0.338547876
166,0.111147968,0.36971156,0.338547876
167,0.111147968,0.36971156,0.338547876
168,0.111147968,0.36971156,0.338547876
169,0.111147968,0.36971156,0.338547876
170,0.111147968,0.36971156,0.338547876
171,0.111147968,0.36971156,0.338547876
172,0.111147968,0.36971156,0.338547876
173,0.111147968,0.36971156,0.338547876
174,0.111147968,0.36971156,0.338547876
175,0.111147968,0.36971156,0.338547876
176,0.111147968,0.36971156,0.338547876
177,0.111147968,0.36971156,0.338547876
178,0.111147968,0.36971156,0.338547876
179,0.111147968,0.36971156,0.338547876
180,0.111147968,0.36971156,0.338547876
181,0.111147968,0.36971156,0.338547876
182,0.111147968,0.36971156,0.338547876
183,0.111147968,0.36971156,0.338547876
184,0.111147968,0.36971156,0.338547876
185,0.111147968,0.36971156,0.338547876
186,0.111147968,0.36971156,0.338547876
187,0.111147968,0.36971156,0.338547876
188,0.111147968,0.36971156,0.338547876
189,0.111147968,0.36971156,0.338547876
190,0.111147968,0.36971156,0.338547876
191,0.111147968,0.36971156,0.338547876
192,0.111147968,0.36971156,0.338547876
193,0.111147968,0.36971156,0.338547876
194,0.111147968,0.36971156,0.338547876
195,0.111147968,0.36971156,0.338547876
196,0.111147968,0.36971156,0.338547876
197,0.111147968,0.36971156,0.338547876
198,0.111147968,0.36971156,0.338547876
199,0.111147968,0.36971156,0.338547876
200,0.111147968,0.36971156,0.338547876
201,0.111147968,0.36971156,0.338547876
202,0.111147968,0.36971156,0.338547876
203,0.111147968,0.36971156,0.338547876
204,0.111147968,0.36971156,0.338547876
205,0.111147968,0.36971156,0.338547876
206,0.111147968,0.36971156,0.338547876
207,0.111147968,0.36971156,0.338547876
208,0.111147968,0.36971156,0.338547876
209,0.111147968,0.36971156,0.338547876
210,0.111147968,0.36971156,0.338547876
211,0.111147968,0.36971156,0.338547876
212,0.111147968,0.36971156,0.338547876
213,0.111147968,0.36971156,0.338547876
214,0.111147968,0.36971156,0.338547876
215,0.111147968,0.36971156,0.338547876
216,0.111147968,0.36971156,0.338547876
