STUID,经度,纬度,经济指数
1809,0.09674354,0.413468128,0.229448544
1810,0.09674354,0.413468128,0.229448544
1811,0.088750762,0.195177981,0.12782292
1812,0.111147968,0.36971156,0.338547876
1813,0.111147968,0.36971156,0.338547876
1814,0.111147968,0.36971156,0.338547876
1815,0.019586037,0.372308461,0
1816,0.09346174,0.622499835,0.086186741
1817,0.153432826,0.572693764,0.25126377
1818,0.157171822,0.410550213,0.333668947
1819,0.166582453,0.336430591,0.210997356
1820,0,0.922677812,0.373221036
1821,0.09674354,0.413468128,0.229448544
1822,0.09674354,0.413468128,0.229448544
1823,0.191747606,0.399015924,0.567586719
1824,0.111147968,0.36971156,0.338547876
1825,0.111147968,0.36971156,0.338547876
1826,0.09674354,0.413468128,0.229448544
1827,0.09346174,0.622499835,0.086186741
1828,0.149398681,0.317689431,0.267487794
1829,0.190840665,0.467161528,0.705465294
1830,0.173130119,0.647200716,0.497585817
1831,0.09674354,0.413468128,0.229448544
1832,0.09674354,0.413468128,0.229448544
1833,0.09674354,0.413468128,0.229448544
1834,0.09674354,0.413468128,0.229448544
1835,0.088750762,0.195177981,0.12782292
1836,0.111147968,0.36971156,0.338547876
1837,0.111147968,0.36971156,0.338547876
1838,0.111147968,0.36971156,0.338547876
1839,0.151160613,0.120764229,0.631136407
1840,0.121866429,0.109064402,0.171812652
1841,0.112379342,0.254918281,0.120358185
1842,0.15837589,0.70041172,0.245715719
1843,0.157171822,0.410550213,0.333668947
1844,0.111147968,0.36971156,0.338547876
1845,0.111147968,0.36971156,0.338547876
1846,0.186743758,0.235375382,0.42789521
1847,0.157171822,0.410550213,0.333668947
1848,0.09674354,0.413468128,0.229448544
1849,0.17424778,0.742373942,0.775330908
1850,0.088750762,0.195177981,0.12782292
1851,0.111147968,0.36971156,0.338547876
1852,0.111147968,0.36971156,0.338547876
1853,0.149398681,0.317689431,0.267487794
1854,0.190840665,0.467161528,0.705465294
1855,0.166582453,0.336430591,0.210997356
1856,0.111147968,0.36971156,0.338547876
1857,0.174796132,0.460154809,0.216352243
1858,0.121866429,0.109064402,0.171812652
1859,0.153432826,0.572693764,0.25126377
1860,0.149398681,0.317689431,0.267487794
1861,0.166582453,0.336430591,0.210997356
1862,0.09674354,0.413468128,0.229448544
1863,0.111147968,0.36971156,0.338547876
1864,0.112379342,0.254918281,0.120358185
1865,0.157171822,0.410550213,0.333668947
1866,0.146841501,0.693090087,0.195340025
1867,0.111147968,0.36971156,0.338547876
1868,0.149398681,0.317689431,0.267487794
1869,0.174796132,0.460154809,0.216352243
1870,0.186743758,0.235375382,0.42789521
1871,0.121866429,0.109064402,0.171812652
1872,0.111147968,0.36971156,0.338547876
1873,0.15837589,0.70041172,0.245715719
1874,0.166582453,0.336430591,0.210997356
1875,0,0.922677812,0.373221036
1876,0.09674354,0.413468128,0.229448544
1877,0.09674354,0.413468128,0.229448544
1878,0,0.922677812,0.155927439
1879,0.191747606,0.399015924,0.567586719
1880,0.111147968,0.36971156,0.338547876
1881,0.111147968,0.36971156,0.338547876
1882,0.111147968,0.36971156,0.338547876
1883,0.111147968,0.36971156,0.338547876
1884,0.149398681,0.317689431,0.267487794
1885,0.047636364,0.642960749,0.170327316
1886,0.09674354,0.413468128,0.229448544
1887,0.174796132,0.460154809,0.216352243
1888,0.121866429,0.109064402,0.171812652
1889,0.133854211,0,0.214661038
1890,0.157171822,0.410550213,0.333668947
1891,0,0.922677812,0.373221036
1892,0.12557506,0.553470364,0.254462902
1893,0.09674354,0.413468128,0.229448544
1894,0.09674354,0.413468128,0.229448544
1895,0.09674354,0.413468128,0.229448544
1896,0.088750762,0.195177981,0.12782292
1897,0.191747606,0.399015924,0.567586719
1898,0.111147968,0.36971156,0.338547876
1899,0.111147968,0.36971156,0.338547876
1900,0.111147968,0.36971156,0.338547876
1901,0.121866429,0.109064402,0.171812652
1902,0.019586037,0.372308461,0
1903,0.186743758,0.235375382,0.42789521
1904,0.151160613,0.120764229,0.631136407
1905,0.112379342,0.254918281,0.120358185
1906,0.15837589,0.70041172,0.245715719
1907,0.153432826,0.572693764,0.25126377
1908,0.157171822,0.410550213,0.333668947
1909,0.149398681,0.317689431,0.267487794
1910,0.190840665,0.467161528,0.705465294
1911,0.146841501,0.693090087,0.195340025
1912,0.09674354,0.413468128,0.229448544
1913,0.09674354,0.413468128,0.229448544
1914,0.09674354,0.413468128,0.229448544
1915,0.088750762,0.195177981,0.12782292
1916,0.191747606,0.399015924,0.567586719
1917,0.111147968,0.36971156,0.338547876
1918,0.111147968,0.36971156,0.338547876
1919,0.111147968,0.36971156,0.338547876
1920,0.111147968,0.36971156,0.338547876
1921,0.111147968,0.36971156,0.338547876
1922,0.166582453,0.336430591,0.210997356
1923,0.12557506,0.553470364,0.254462902
1924,0,0.922677812,0.155927439
1925,0.191747606,0.399015924,0.567586719
1926,0.111147968,0.36971156,0.338547876
1927,0.09346174,0.622499835,0.086186741
1928,0.121866429,0.109064402,0.171812652
1929,0.112379342,0.254918281,0.120358185
1930,0.15837589,0.70041172,0.245715719
1931,0.153432826,0.572693764,0.25126377
1932,0.157171822,0.410550213,0.333668947
1933,0.190840665,0.467161528,0.705465294
1934,0.146841501,0.693090087,0.195340025
1935,0.09674354,0.413468128,0.229448544
1936,0.09674354,0.413468128,0.229448544
1937,0.111147968,0.36971156,0.338547876
1938,0.111147968,0.36971156,0.338547876
1939,0.111147968,0.36971156,0.338547876
1940,0.111147968,0.36971156,0.338547876
1941,0.166582453,0.336430591,0.210997356
1942,0.09674354,0.413468128,0.229448544
1943,0,0.922677812,0.155927439
1944,0.121866429,0.109064402,0.171812652
1945,0.112379342,0.254918281,0.120358185
1946,0.15837589,0.70041172,0.245715719
1947,0.157171822,0.410550213,0.333668947
1948,0.222283611,0.927346407,0.2357272
1949,0.190840665,0.467161528,0.705465294
1950,0.173130119,0.647200716,0.497585817
1951,0.12557506,0.553470364,0.254462902
1952,0.09674354,0.413468128,0.229448544
1953,0.09674354,0.413468128,0.229448544
1954,0.088750762,0.195177981,0.12782292
1955,0.111147968,0.36971156,0.338547876
1956,0.111147968,0.36971156,0.338547876
1957,0.111147968,0.36971156,0.338547876
1958,0.111147968,0.36971156,0.338547876
1959,0.109740792,0.677925382,0.217499229
1960,0.09674354,0.413468128,0.229448544
1961,0.088750762,0.195177981,0.12782292
1962,0.111147968,0.36971156,0.338547876
1963,0.111147968,0.36971156,0.338547876
1964,0.174796132,0.460154809,0.216352243
1965,0.121866429,0.109064402,0.171812652
1966,0.15837589,0.70041172,0.245715719
1967,0.23006662,1,0.245879867
1968,0.12557506,0.553470364,0.254462902
1969,0.09674354,0.413468128,0.229448544
1970,0,0.922677812,0.155927439
1971,0.191747606,0.399015924,0.567586719
1972,0.111147968,0.36971156,0.338547876
1973,0.111147968,0.36971156,0.338547876
1974,0.111147968,0.36971156,0.338547876
1975,0.157171822,0.410550213,0.333668947
1976,0.149398681,0.317689431,0.267487794
1977,0.047636364,0.642960749,0.170327316
1978,0.088750762,0.195177981,0.12782292
1979,0.111147968,0.36971156,0.338547876
1980,0.111147968,0.36971156,0.338547876
1981,0.186743758,0.235375382,0.42789521
1982,0.112379342,0.254918281,0.120358185
1983,0.153432826,0.572693764,0.25126377
1984,0.09674354,0.413468128,0.229448544
1985,0.09674354,0.413468128,0.229448544
1986,0.09674354,0.413468128,0.229448544
1987,0.088750762,0.195177981,0.12782292
1988,0.111147968,0.36971156,0.338547876
1989,0.111147968,0.36971156,0.338547876
1990,0.111147968,0.36971156,0.338547876
1991,0.121866429,0.109064402,0.171812652
1992,0.149398681,0.317689431,0.267487794
1993,0.190840665,0.467161528,0.705465294
1994,0.09674354,0.413468128,0.229448544
1995,0.09674354,0.413468128,0.229448544
1996,0.09674354,0.413468128,0.229448544
1997,0.088750762,0.195177981,0.12782292
1998,0.191747606,0.399015924,0.567586719
1999,0.111147968,0.36971156,0.338547876
2000,0.111147968,0.36971156,0.338547876
2001,0.111147968,0.36971156,0.338547876
2002,0.121866429,0.109064402,0.171812652
2003,0.09674354,0.413468128,0.229448544
2004,0.111147968,0.36971156,0.338547876
2005,0.112379342,0.254918281,0.120358185
2006,0.190840665,0.467161528,0.705465294
2007,0.166582453,0.336430591,0.210997356
2008,0,0.922677812,0.373221036
2009,0.173130119,0.647200716,0.497585817
2010,0.09674354,0.413468128,0.229448544
2011,0.121866429,0.109064402,0.171812652
2012,0.157171822,0.410550213,0.333668947
2013,0.12557506,0.553470364,0.254462902
2014,0.111147968,0.36971156,0.338547876
2015,0.121866429,0.109064402,0.171812652
2016,0.15837589,0.70041172,0.245715719
2017,0.09674354,0.413468128,0.229448544
2018,0.09674354,0.413468128,0.229448544
2019,0.088750762,0.195177981,0.12782292
2020,0.111147968,0.36971156,0.338547876
2021,0.186743758,0.235375382,0.42789521
2022,0.121866429,0.109064402,0.171812652
2023,0.190840665,0.467161528,0.705465294
2024,0.12557506,0.553470364,0.254462902
2025,0.09674354,0.413468128,0.229448544
2026,0.09674354,0.413468128,0.229448544
2027,0.111147968,0.36971156,0.338547876
2028,0.111147968,0.36971156,0.338547876
2029,0.151160613,0.120764229,0.631136407
2030,0.153432826,0.572693764,0.25126377
2031,0.157171822,0.410550213,0.333668947
2032,0.190840665,0.467161528,0.705465294
2033,0.166582453,0.336430591,0.210997356
2034,0.09674354,0.413468128,0.229448544
2035,0.17424778,0.742373942,0.775330908
2036,0.111147968,0.36971156,0.338547876
2037,0.111147968,0.36971156,0.338547876
2038,0.111147968,0.36971156,0.338547876
2039,0.111147968,0.36971156,0.338547876
2040,0.174796132,0.460154809,0.216352243
2041,0.173130119,0.647200716,0.497585817
2042,0.09674354,0.413468128,0.229448544
2043,0.09674354,0.413468128,0.229448544
2044,0.111147968,0.36971156,0.338547876
2045,0.111147968,0.36971156,0.338547876
2046,0.173130119,0.647200716,0.497585817
2047,0.15837589,0.70041172,0.245715719
2048,0.111147968,0.36971156,0.338547876
2049,0.09674354,0.413468128,0.229448544
2050,0.174796132,0.460154809,0.216352243
2051,0.157171822,0.410550213,0.333668947
2052,0.186743758,0.235375382,0.42789521
2053,0.121866429,0.109064402,0.171812652
2054,0.112379342,0.254918281,0.120358185
2055,0.149398681,0.317689431,0.267487794
2056,0.09346174,0.622499835,0.086186741
2057,0.111147968,0.36971156,0.338547876
2058,0.186743758,0.235375382,0.42789521
2059,0.151160613,0.120764229,0.631136407
2060,0.121866429,0.109064402,0.171812652
2061,0.153432826,0.572693764,0.25126377
2062,0.12557506,0.553470364,0.254462902
2063,0.09674354,0.413468128,0.229448544
2064,0.09674354,0.413468128,0.229448544
2065,0.09674354,0.413468128,0.229448544
2066,0.111147968,0.36971156,0.338547876
2067,0.111147968,0.36971156,0.338547876
2068,0.111147968,0.36971156,0.338547876
2069,0.111147968,0.36971156,0.338547876
2070,0.211090591,0.846147923,0.38265404
2071,0.17424778,0.742373942,0.775330908
2072,0.111147968,0.36971156,0.338547876
2073,0.111147968,0.36971156,0.338547876
2074,0.186743758,0.235375382,0.42789521
2075,0.121866429,0.109064402,0.171812652
2076,0.149398681,0.317689431,0.267487794
2077,0.09674354,0.413468128,0.229448544
2078,0.09674354,0.413468128,0.229448544
2079,0.111147968,0.36971156,0.338547876
2080,0.111147968,0.36971156,0.338547876
2081,0.111147968,0.36971156,0.338547876
2082,0.112379342,0.254918281,0.120358185
2083,0.109740792,0.677925382,0.217499229
2084,0.09674354,0.413468128,0.229448544
2085,0.151160613,0.120764229,0.631136407
2086,0.133854211,0,0.214661038
2087,0.153432826,0.572693764,0.25126377
2088,0.157171822,0.410550213,0.333668947
2089,0.146841501,0.693090087,0.195340025
2090,0.09674354,0.413468128,0.229448544
2091,0.09674354,0.413468128,0.229448544
2092,0,0.922677812,0.155927439
2093,0.088750762,0.195177981,0.12782292
2094,0.111147968,0.36971156,0.338547876
