STUID,经度,纬度,经济指数
138,1,0.719509985,1
139,1,0.719509985,1
140,1,0.719509985,1
141,1,0.719509985,1
142,1,0.719509985,1
143,1,0.719509985,1
144,1,0.719509985,1
145,1,0.719509985,1
146,0.09674354,0.413468128,0.229448544
147,0.190840665,0.467161528,0.705465294
148,0,0.922677812,0.155927439
149,0.169612703,0.772653003,0.955987109
150,0.151160613,0.120764229,0.631136407
151,0.111147968,0.36971156,0.338547876
152,0.191747606,0.399015924,0.567586719
153,0.149398681,0.317689431,0.267487794
154,0.111147968,0.36971156,0.338547876
155,0.111147968,0.36971156,0.338547876
156,0.111147968,0.36971156,0.338547876
157,0.169612703,0.772653003,0.955987109
158,0.191747606,0.399015924,0.567586719
159,0.111147968,0.36971156,0.338547876
160,0.169612703,0.772653003,0.955987109
161,0.190840665,0.467161528,0.705465294
162,0.111147968,0.36971156,0.338547876
163,0.111147968,0.36971156,0.338547876
164,0.151160613,0.120764229,0.631136407
165,0.12557506,0.553470364,0.254462902
166,0.149398681,0.317689431,0.267487794
167,0.149398681,0.317689431,0.267487794
168,0.111147968,0.36971156,0.338547876
169,0.111147968,0.36971156,0.338547876
170,0.191747606,0.399015924,0.567586719
171,0.111147968,0.36971156,0.338547876
172,0.191747606,0.399015924,0.567586719
173,0.09674354,0.413468128,0.229448544
174,0.169612703,0.772653003,0.955987109
175,0.111147968,0.36971156,0.338547876
176,0.111147968,0.36971156,0.338547876
177,0.169612703,0.772653003,0.955987109
178,0.191747606,0.399015924,0.567586719
179,0.190840665,0.467161528,0.705465294
180,0.157171822,0.410550213,0.333668947
181,0.173130119,0.647200716,0.497585817
182,0.157171822,0.410550213,0.333668947
183,0.111147968,0.36971156,0.338547876
184,0.111147968,0.36971156,0.338547876
185,0.111147968,0.36971156,0.338547876
186,0.111147968,0.36971156,0.338547876
187,0.111147968,0.36971156,0.338547876
188,0.111147968,0.36971156,0.338547876
189,0.173130119,0.647200716,0.497585817
190,0.111147968,0.36971156,0.338547876
191,0.111147968,0.36971156,0.338547876
192,0.157171822,0.410550213,0.333668947
193,0.169612703,0.772653003,0.955987109
194,0.149398681,0.317689431,0.267487794
195,0.12557506,0.553470364,0.254462902
196,0.111147968,0.36971156,0.338547876
197,0.169612703,0.772653003,0.955987109
198,0.111147968,0.36971156,0.338547876
199,0.111147968,0.36971156,0.338547876
200,0.169612703,0.772653003,0.955987109
201,0.190840665,0.467161528,0.705465294
202,0.111147968,0.36971156,0.338547876
203,0.111147968,0.36971156,0.338547876
204,0.169612703,0.772653003,0.955987109
205,0.169612703,0.772653003,0.955987109
206,0.169612703,0.772653003,0.955987109
207,0.111147968,0.36971156,0.338547876
208,0.12557506,0.553470364,0.254462902
209,0.111147968,0.36971156,0.338547876
210,0.174796132,0.460154809,0.216352243
211,0.157171822,0.410550213,0.333668947
212,0.111147968,0.36971156,0.338547876
213,0.111147968,0.36971156,0.338547876
214,0.199537099,0.435699613,1
215,0.111147968,0.36971156,0.338547876
216,0.111147968,0.36971156,0.338547876
217,0.111147968,0.36971156,0.338547876
218,0.111147968,0.36971156,0.338547876
219,0.111147968,0.36971156,0.338547876
220,0.111147968,0.36971156,0.338547876
221,0.199537099,0.435699613,1
222,0.157171822,0.410550213,0.333668947
223,0.169612703,0.772653003,0.955987109
224,0.169612703,0.772653003,0.955987109
225,0.111147968,0.36971156,0.338547876
226,0.111147968,0.36971156,0.338547876
227,0.169612703,0.772653003,0.955987109
228,0.169612703,0.772653003,0.955987109
229,0.169612703,0.772653003,0.955987109
230,0.169612703,0.772653003,0.955987109
231,0.157171822,0.410550213,0.333668947
232,0.111147968,0.36971156,0.338547876
233,0.191747606,0.399015924,0.567586719
234,0.111147968,0.36971156,0.338547876
235,0.169612703,0.772653003,0.955987109
236,0.169612703,0.772653003,0.955987109
237,0.17424778,0.742373942,0.775330908
238,0.169612703,0.772653003,0.955987109
239,0.111147968,0.36971156,0.338547876
240,0.111147968,0.36971156,0.338547876
241,0.111147968,0.36971156,0.338547876
242,0.169612703,0.772653003,0.955987109
243,0.169612703,0.772653003,0.955987109
244,0.199537099,0.435699613,1
245,0.190840665,0.467161528,0.705465294
246,0.169612703,0.772653003,0.955987109
247,0.169612703,0.772653003,0.955987109
248,0.111147968,0.36971156,0.338547876
249,0.169612703,0.772653003,0.955987109
250,0.153432826,0.572693764,0.25126377
251,0.169612703,0.772653003,0.955987109
252,0.111147968,0.36971156,0.338547876
253,0.111147968,0.36971156,0.338547876
254,0.190840665,0.467161528,0.705465294
255,0.111147968,0.36971156,0.338547876
256,0.12557506,0.553470364,0.254462902
257,0.169612703,0.772653003,0.955987109
258,0.09674354,0.413468128,0.229448544
